publishedAt,authorDisplayName,textDisplay,likeCount
2025-09-18T11:20:40Z,@HanilKasep,Ngeri bos... Perusahaan mana yang mau menggajih sesuai UMP.yang senior aja udah pada mau pensiun. Banyak yang PHK.,0
2025-09-18T11:13:15Z,@AhmadShohib-zq8xt,Berilah masyarakat kesempatan agar bisa menikmati hasil dari jeri payahnya sendiri dari negaranya,3
2025-09-18T11:08:45Z,@heriwidayanto450,Mungkin baru wacana aj🙏,0
2025-09-18T11:01:39Z,@payrasaapel4405,Magang di jkrta cuma di gaji 3jt,0
2025-09-18T10:53:35Z,@Suradi-x8m,Menurut saya.pk.gkusah.ribut.masalah.sekolah.ygpentinng.demo.rakyat.dannegara..daripada.sekolah.sampaisetinggi.langit.ujungnya.jadibajingan.,0
2025-09-18T10:31:30Z,@AkbarSagala-h6v,"Jangan kan 20 ribu,2 juta orang aja masih dikit untuk mengurangi pengangguran,",0
2025-09-18T10:25:02Z,@Dede-f2x,Semoga g omon 2,0
2025-09-18T10:06:20Z,@isaksiwa7274,Link pendaftarannya mana,0
2025-09-18T10:04:38Z,@mustamanustman3875,"Trs yg lulusan lama di biarkan begitu saja ya pak,g adil dong, harusnya sama2 di rangkul buat kerja magang",0
2025-09-18T09:59:32Z,@lamsariahlamsariah355,"Bagus , buka terus lapangan kerja bila perlu sebanyak banyak nya, lndonesia generasi produktif bukan generasi tongkrongan, terima kasih untuk semuanya",1
2025-09-18T09:54:43Z,@jackman-f1r,cara daftarnya gimana pak ?,1
2025-09-18T09:43:08Z,@robertussutarmanto8045,Pakailah DIKLAT DIKLAT yg banyak nganggur utk PEMBEKALAN  BAHASA ASING DAN KETRAMPILAN UTK SARJANA SARJANA YG BARU LULUS ATAU MASIH MENGANGGUR.BIAR BERGUNA GEDUNG GEDUNG MEGAH ITU.<br>DAN BAGI PESERTANYA GRATIS.MENTRI TENAGA KERJA YG ANGGARKAN BIAYANYA.<br>HERAN PARA MENTRI APA KERJAMU ???<br>MANA TROBOSANNMU UTK MENUJU INDONESIA EMAS ?<br>MOLOR AJA KERJANYE.,0
2025-09-18T09:38:52Z,@yetybahar1132,itu ada dana ny buat gaji org yg magang koq giliran uang pensiunan yg dipotong tiap bln smp puluhan tahun g dikembalikan smp skrg gmn NKRI mw di bilang adil wajar rakyat demo trs menerus emang pemerintahny yg g adil sm rakyat,0
2025-09-18T09:34:28Z,@kamtopam6910,Mudah2an Segera Tereliasi program ini banyak anak2 kita lulus masih PD menganggur. Itu Ada yg janji buka lopangan kerja 19juta OMON OMON Doang.,0
2025-09-18T09:24:41Z,@khadijahtan9307,Program gk jelas honorer aj  gk digaji aplgi magang konoha2 omon2 tok.😂😂😂,0
2025-09-18T09:20:56Z,@indonesiabae98,👍👍👍,0
2025-09-18T09:16:41Z,@Bogartbrahm,"Kok, jd terkesan pak purbaya doang yg kerja, yg lain mana",0
2025-09-18T09:13:41Z,@LayNyuk,janji ya pak menteri gaji segitu jangan dipotong ini-itu lagi ya,0
2025-09-18T09:05:32Z,@uzanxrustiwa6314,nanti titipan juga yg bisa magang,0
2025-09-18T08:55:37Z,@BiancaSyahrena-e5l,Lulusan smk gimna pak,0
2025-09-18T08:50:09Z,@Catrik123,Erlangga hatu beringin 😂saat nahkoda pak prabowi dia sedikit LURUS😂😂😂,0
2025-09-18T08:43:19Z,@roydeeyaa6239,"Kasian yg lama, pdhl udah ngarep², masalahnya apa ?",0
2025-09-18T08:40:57Z,@BagasBagaskomarudin,Jangan bangga dulu tolong di cerna ko cuman setahun kenapa ga seperti ASN,0
2025-09-18T08:34:51Z,@nckmnj-rm7ie,Buka kerja untok cari lantong mau kah ini permerintah makan lender rahyat suroh kerja cari lantong gobelok punya permerintah,0
2025-09-18T08:27:33Z,@SitiRomiahSitiRomiah,"Saya sllu berdo&#39;a SMG Indonesia mulai damai dan sejahtera membuka lapangan kerja bagi rakyatnya yg pengangguran, SMG BPK Mentri keuangan di berikan amanah yg jujur demi rakyat 🙏🙏",3
2025-09-18T08:04:40Z,@Dirhansyah,"Dari sejak indonesia berkonstitusi, negara pemerintah  RI membuat program diskrimatif....kebutuhan pokok semua anak negara wajib mutlak sama, walau seorang presiden dg org gila. Kebutuhan hidup sehat, kebutuhan hidup berilmu, kebutuhan hidup bekerja, kebutuhan hidup utk mati.....terserah mau di bahas pakai ilmu apa aja manusia.....",0
